country_en,country_ru,lang_en,lang_ru
Union of the Comoros,Союз Коморских Островов,Arabic,арабский
Union of the Comoros,Союз Коморских Островов,Comorian,коморский
Union of the Comoros,Союз Коморских Островов,French,французский
Macao Special Administrative Region of the People's Republic of China,Специальный административный район Макао Китайской Народной Республики Китай,Chinese,китайский
Macao Special Administrative Region of the People's Republic of China,Специальный административный район Макао Китайской Народной Республики Китай,Portuguese,португальский
Country of Curaçao,Страна Кюрасао,Dutch,нидерландский
Country of Curaçao,Страна Кюрасао,English,английский
Country of Curaçao,Страна Кюрасао,Papiamento,папьяменто
Sultanate of Oman,Султанат Оман,Arabic,арабский
Turks and Caicos Islands,Теркс и Кайкос острова,English,английский
Territory of the Cocos (Keeling) Islands,Территория Кокосовые (Килинг) острова,English,английский
Territory of Norfolk Island,Территория острова Норфолк,English,английский
Territory of Norfolk Island,Территория острова Норфолк,Norfuk,норфолкский
Territory of Christmas Island,Территория острова Рождества,English,английский
Territory of the Wallis and Futuna Islands,Территория Уоллис и Футуна острова,French,французский
Territory of the French Southern and Antarctic Lands,Территория Французские Южные и Антарктические земли,French,французский
Togolese Republic,Того Республика,French,французский
Tokelau,Токелау,English,английский
Tokelau,Токелау,Samoan,самоанский
Tokelau,Токелау,Tokelauan,токелау
Tuvalu,Тувалу,English,английский
Tuvalu,Тувалу,Tuvaluan,тувалу
Tunisian Republic,Тунисской Республики,Arabic,арабский
Turkmenistan,Туркменистан,Russian,русский
Turkmenistan,Туркменистан,Turkmen,туркменский
Ukraine,Украина,Ukrainian,украинский
Faroe Islands,Фарерские острова,Danish,датский
Faroe Islands,Фарерские острова,Faroese,фарерский
Federal Democratic Republic of Nepal,Федеративная Демократическая Республика Непал,Nepali,непальский
Federal Democratic Republic of Ethiopia,Федеративная Демократическая Республика Эфиопия,Amharic,амхарский
Federative Republic of Brazil,Федеративная Республика Бразилия,Portuguese,португальский
Federal Republic of Germany,Федеративная Республика Германия,German,немецкий
Federal Republic of Nigeria,Федеративная Республика Нигерия,English,английский
Federal Republic of Somalia,Федеративная Республика Сомали,Arabic,арабский
Federal Republic of Somalia,Федеративная Республика Сомали,Somali,сомали
Federated States of Micronesia,Федеративные Штаты Микронезии,English,английский
Federation of Saint Christopher and Nevisa,Федерация Сент-Кристофер и Nevisa,English,английский
Republic of Finland,Финляндская Республика,Finnish,финский
Republic of Finland,Финляндская Республика,Swedish,шведский
Falkland Islands,Фолклендские острова,English,английский
French Polynesia,Французская Полинезия,French,французский
French Republic,Французская Республика,French,французский
Central African Republic,Центрально-Африканская Республика,French,французский
Central African Republic,Центрально-Африканская Республика,Sango,санго
Montenegro,Черногория,Montenegrin,черногорский
Czech Republic,Чешская Республика,Czech,чешский
Czech Republic,Чешская Республика,Slovak,словакский
Swiss Confederation,Швейцарская Конфедерация,French,французский
Swiss Confederation,Швейцарская Конфедерация,Italian,итальянский
Swiss Confederation,Швейцарская Конфедерация,Romansh,романшский
Swiss Confederation,Швейцарская Конфедерация,Swiss German,швейцарский диалект немецкого
Republic of Estonia,Эстонская Республика,Estonian,эстонский
South Georgia and the South Sandwich Islands,Южная Георгия и Южные Сандвичевы острова,English,английский
Republic of South Africa,Южно-Африканская Республика,Afrikaans,африкаанс
Republic of South Africa,Южно-Африканская Республика,English,английский
Republic of South Africa,Южно-Африканская Республика,Northern Sotho,северный сото
Republic of South Africa,Южно-Африканская Республика,Southern Ndebele,южный ндебеле
Republic of South Africa,Южно-Африканская Республика,Southern Sotho,сесото
Republic of South Africa,Южно-Африканская Республика,Swazi,свати
Republic of South Africa,Южно-Африканская Республика,Tsonga,тсонга
Republic of South Africa,Южно-Африканская Республика,Tswana,тсвана
Republic of South Africa,Южно-Африканская Республика,Venda,венда
Republic of South Africa,Южно-Африканская Республика,Xhosa,коса
Republic of South Africa,Южно-Африканская Республика,Zulu,зулусский
Jamaica,Ямайка,English,английский
Jamaica,Ямайка,Jamaican Patois,ямайское патуа
Japan,Япония,Japanese,японский
Hong Kong Special Administrative Region of the People's Republic of China,Hong Kong Специальный административный район Китайской Народной Республики Китая,Chinese,китайский
Hong Kong Special Administrative Region of the People's Republic of China,Hong Kong Специальный административный район Китайской Народной Республики Китая,English,английский
Sahrawi Arab Democratic Republic,Sahrawi Арабская Демократическая Республика,Berber,берберский
Sahrawi Arab Democratic Republic,Sahrawi Арабская Демократическая Республика,Hassaniya,хассания
Sahrawi Arab Democratic Republic,Sahrawi Арабская Демократическая Республика,Spanish,испанский
